VendorID	tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	PULocationID	DOLocationID	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
2	2018-01-01 00:00:00	2018-01-01 00:00:00	1		1	N	229	17	2	27.0	0.0	0.5	0.0	0.0	0.3	27.8
2	2018-01-01 00:00:02	2018-01-01 00:08:48	1	1.36	1	N	68	249	2	7.5	0.5	0.5	0.0	0.0	0.3	8.8
1	2018-01-01 00:00:03	2018-01-01 00:21:06	1	6.1	1	N	255	236	2	20.5	0.5	0.5	0.0	0.0	0.3	21.8
2	2018-01-01 00:00:03	2018-01-01 00:03:52	3	0.99	1	N	236	43	2	5.5	0.5	0.5	0.0	0.0	0.3	6.8
1	2018-01-01 00:00:04	2018-01-01 00:13:24	1	3.6	1	N	37	157	2	13.5	0.5	0.5	0.0	0.0	0.3	14.8
2	2018-01-01 00:00:04	2018-01-01 00:08:13	1	1.59	1	N	141	161	2	8.0	0.5	0.5	0.0	0.0	0.3	9.3
1	2018-01-01 00:00:06	2018-01-01 00:24:34	1		1	N	162	49	1	23.5	0.5	0.5	4.95	0.0	0.3	29.75
1	2018-01-01 00:00:11	2018-01-01 00:06:05	1	1.7	1	N	238	143	1	7.0	0.5	0.5	1.65	0.0	0.3	9.95
1	2018-01-01 00:00:13	2018-01-01 00:07:03	1	0.9	1	N	144	249	1	6.0	0.5	0.5	1.8	0.0	0.3	9.1
1	2018-01-01 00:00:14	2018-01-01 00:11:38	1	4.0	1	N	170	232	2	14.0	0.5	0.5	0.0	0.0	0.3	15.3
1	2018-01-01 00:00:14	2018-01-01 00:04:32	1	0.9	1	N	141	237	1	5.0	0.5	0.5	1.0	0.0	0.3	7.3
1	2018-01-01 00:00:15	2018-01-01 00:08:21	2	1.2	1	N	232	107	2	7.0	0.5	0.5	0.0	0.0	0.3	8.3
2	2018-01-01 00:00:15	2018-01-01 00:14:17	1		1	N	90	137	1	10.5	0.5	0.5	2.36	0.0	0.3	14.16
1	2018-01-01 00:00:16	2018-01-01 00:00:49	1	0.0	5	N	265	265	1	55.0	0.0	0.0	5.0	14.0	0.3	74.3
2	2018-01-01 00:00:17	2018-01-01 00:10:55	1	3.76	1	N	229	74	1	12.0	0.5	0.5	1.0	0.0	0.3	14.3
1	2018-01-01 00:00:18	2018-01-01 00:29:50	4	13.2	1	N	138	72	2	39.0	0.5	0.5	0.0	0.0	0.3	40.3
1	2018-01-01 00:00:19	2018-01-01 00:26:38	1	1.5	1	N	161	161	2	15.5	0.5	0.5	0.0	0.0	0.3	16.8
1	2018-01-01 00:00:20	2018-01-01 00:06:23	2	1.1	1	N	164	162	3	6.5	0.5	0.5	0.0	0.0	0.3	7.8
1	2018-01-01 00:00:22	2018-01-01 00:04:05	1	0.7	1	N	162	137	2	5.0	0.5	0.5	0.0	0.0	0.3	6.3
1	2018-01-01 00:00:23	2018-01-01 00:33:02	1	3.7	1	N	158	141	1	21.0	0.5	0.5	6.65	0.0	0.3	28.95
1	2018-01-01 00:00:24	2018-01-01 00:11:27	1	2.0	1	N	229	79	1	9.5	0.5	0.5	2.15	0.0	0.3	12.95
1	2018-01-01 00:00:24	2018-01-01 00:06:57	1	0.7	1	N	186	68	2	6.0	0.5	0.5	0.0	0.0	0.3	7.3
1	2018-01-01 00:00:25	2018-01-01 00:20:37	1	7.4	1	N	237	116	2	24.0	0.5	0.5	0.0	0.0	0.3	25.3
2	2018-01-01 00:00:25	2018-01-01 00:06:08	1	1.36	1	N	43	237	1	6.5	0.5	0.5	2.34	0.0	0.3	10.14
2	2018-01-01 00:00:25	2018-01-01 00:11:50	1		1	N	48	68	1	8.0	0.5	0.5	1.86	0.0	0.3	11.16
1	2018-01-01 00:00:25	2018-01-01 00:13:43	1	3.6	1	N	142	166	1	12.5	0.5	0.5	2.75	0.0	0.3	16.55
1	2018-01-01 00:00:26	2018-01-01 00:03:34	1	0.4	1	N	236	262	2	4.0	0.5	0.5	0.0	0.0	0.3	5.3
1	2018-01-01 00:00:26	2018-01-01 00:12:31	1	1.4	1	N	164	233	1	9.0	0.5	0.5	3.05	0.0	0.3	13.35
1	2018-01-01 00:00:27	2018-01-01 00:04:11	4	0.3	1	N	233	161	2	4.5	0.5	0.5	0.0	0.0	0.3	5.8
2	2018-01-01 00:00:28	2018-01-01 00:16:27	6	2.19	1	N	170	79	1	11.5	0.5	0.5	2.56	0.0	0.3	15.36
1	2018-01-01 00:00:32	2018-01-01 00:22:06	2	4.7	1	N	48	75	2	18.0	0.5	0.5	0.0	0.0	0.3	19.3
1	2018-01-01 00:00:33	2018-01-01 00:10:33	1	1.0	1	N	68	246	1	8.0	0.5	0.5	1.85	0.0	0.3	11.15
2	2018-01-01 00:00:35	2018-01-01 00:00:35	1	19.16	2	N	132	244	1	52.0	0.0	0.5	14.64	5.76	0.3	73.2
2	2018-01-01 00:00:36	2018-01-01 00:03:33	1	0.7	1	N	237	237	1	4.5	0.5	0.5	0.0	0.0	0.3	5.8
2	2018-01-01 00:00:36	2018-01-01 00:03:53	1	0.4	1	N	79	79	2	4.0	0.5	0.5	0.0	0.0	0.3	5.3
2	2018-01-01 00:00:36	2018-01-01 00:16:36	2	4.14	1	N	161	74	1	14.5	0.5	0.5	0.0	0.0	0.3	15.8
1	2018-01-01 00:00:37	2018-01-01 00:05:52	1	1.0	1	N	238	236	2	6.0	0.5	0.5	0.0	0.0	0.3	7.3
2	2018-01-01 00:00:38	2018-01-01 00:03:41	1		1	N	166	238	1	5.0	0.5	0.5	1.26	0.0	0.3	7.56
1	2018-01-01 00:00:38	2018-01-01 00:05:58	1	0.5	1	N	186	164	2	5.5	0.5	0.5	0.0	0.0	0.3	6.8
2	2018-01-01 00:00:38	2018-01-01 00:19:21	1	4.61	1	N	79	75	1	16.5	0.5	0.5	2.0	0.0	0.3	19.8
2	2018-01-01 00:00:39	2018-01-01 00:28:19	1	5.33	1	N	238	142	2	22.0	0.5	0.5	0.0	0.0	0.3	23.3
2	2018-01-01 00:00:40	2018-01-01 00:01:59	1	0.5	1	N	68	246	1	3.5	0.5	0.5	0.0	0.0	0.3	4.8
2	2018-01-01 00:00:42	2018-01-01 00:15:14	5	7.39	1	N	48	244	2	22.0	0.5	0.5	0.0	0.0	0.3	23.3
2	2018-01-01 00:00:42	2018-01-01 00:06:36	1	0.79	1	N	68	90	1	5.5	0.5	0.5	1.7	0.0	0.3	8.5
2	2018-01-01 00:00:42	2018-01-01 00:16:32	1	8.38	1	N	231	263	1	24.5	0.5	0.5	2.0	0.0	0.3	27.8
1	2018-01-01 00:00:43	2018-01-01 00:07:53	1	1.1	1	N	68	50	2	7.0	0.5	0.5	0.0	0.0	0.3	8.3
2	2018-01-01 00:00:44	2018-01-01 00:14:44	1	1.73	1	N	141	186	2	10.0	0.5	0.5	0.0	0.0	0.3	11.3
2	2018-01-01 00:00:44	2018-01-01 00:16:44	1	9.62	1	N	50	119	2	27.0	0.5	0.5	0.0	0.0	0.3	28.3
1	2018-01-01 00:00:46	2018-01-01 00:09:34	1	2.9	1	N	140	224	1	11.0	0.5	0.5	2.46	0.0	0.3	14.76
2	2018-01-01 00:00:50	2018-01-01 00:08:52	1	1.18	1	N	114	79	2	7.0	0.5	0.5	0.0	0.0	0.3	8.3
2	2018-01-01 00:00:51	2018-01-01 00:14:31	1	6.63	1	N	264	264	1	20.0	0.5	0.5	5.32	0.0	0.3	26.62
2	2018-01-01 00:00:52	2018-01-01 00:21:21	3	4.2	1	N	61	36	1	16.5	0.5	0.5	4.0	0.0	0.3	21.8
2	2018-01-01 00:00:53	2018-01-01 00:15:14	1	3.49	1	N	24	142	2	13.5	0.5	0.5	0.0	0.0	0.3	14.8
2	2018-01-01 00:00:53	2018-01-01 00:15:15	2		1	N	161	161	1	9.5	0.5	0.5	0.0	0.0	0.3	10.8
2	2018-01-01 00:00:54	2018-01-01 00:09:59	1	1.95	1	N	229	79	2	8.5	0.5	0.5	0.0	0.0	0.3	9.8
1	2018-01-01 00:00:56	2018-01-01 00:21:29	2	3.1	1	N	238	161	2	15.0	0.5	0.5	0.0	0.0	0.3	16.3
1	2018-01-01 00:00:58	2018-01-01 00:27:56	2	9.8	1	N	162	18	2	30.5	0.5	0.5	0.0	0.0	0.3	31.8
2	2018-01-01 00:00:59	2018-01-01 00:02:40	6	0.33	1	N	264	264	1	3.5	0.5	0.5	0.96	0.0	0.3	5.76
2	2018-01-01 00:00:59	2018-01-01 00:02:28	1	0.4	1	N	13	13	1	3.5	0.5	0.5	0.96	0.0	0.3	5.76
2	2018-01-01 00:00:59	2018-01-01 00:05:13	1	0.87	1	N	68	90	2	5.5	0.5	0.5	0.0	0.0	0.3	6.8
2	2018-01-01 00:01:00	2018-01-01 00:10:39	1	2.02	1	N	151	75	2	9.0	0.5	0.5	0.0	0.0	0.3	10.3
2	2018-01-01 00:01:00	2018-01-01 00:13:31	1	0.48	1	N	48	48	2	8.5	0.5	0.5	0.0	0.0	0.3	9.8
1	2018-01-01 00:01:00	2018-01-01 00:25:45	1	16.0	1	N	132	108	1	43.5	0.5	0.5	2.0	0.0	0.3	46.8
2	2018-01-01 00:01:01	2018-01-01 00:16:06	4	4.41	1	N	229	148	2	15.5	0.5	0.5	0.0	0.0	0.3	16.8
1	2018-01-01 00:01:03	2018-01-01 00:12:32	1	2.9	1	N	48	236	1	11.0	0.5	0.5	3.65	0.0	0.3	15.95
1	2018-01-01 00:01:05	2018-01-01 00:13:28	4	1.3	1	N	144	113	1	9.0	0.5	0.5	2.05	0.0	0.3	12.35
2	2018-01-01 00:01:06	2018-01-01 00:19:39	4	2.83	1	N	100	148	1	13.5	0.5	0.5	2.96	0.0	0.3	17.76
2	2018-01-01 00:01:07	2018-01-01 00:01:10	2	0.06	5	N	264	113	1	15.0	0.0	0.0	0.0	0.0	0.3	15.3
1	2018-01-01 00:01:08	2018-01-01 00:05:42	1	0.8	1	N	144	231	1	5.0	0.5	0.5	1.7	0.0	0.3	8.0
2	2018-01-01 00:01:09	2018-01-01 00:04:39	1	0.75	1	N	41	75	2	5.0	0.5	0.5	0.0	0.0	0.3	6.3
2	2018-01-01 00:01:10	2018-01-01 00:17:19	1	5.47	1	N	90	112	2	17.5	0.5	0.5	0.0	0.0	0.3	18.8
2	2018-01-01 00:01:11	2018-01-01 00:17:52	1	4.42	1	N	229	24	2	15.5	0.5	0.5	0.0	0.0	0.3	16.8
2	2018-01-01 00:01:13	2018-01-01 00:05:43	5	0.66	1	N	238	166	2	5.0	0.5	0.5	0.0	0.0	0.3	6.3
2	2018-01-01 00:01:13	2018-01-01 00:16:39	3	6.66	1	N	42	182	2	21.0	0.5	0.5	0.0	0.0	0.3	22.3
2	2018-01-01 00:01:13	2018-01-01 00:10:01	1	1.47	1	N	90	164	2	7.5	0.5	0.5	0.0	0.0	0.3	8.8
2	2018-01-01 00:01:14	2018-01-01 00:03:39	1	0.6	1	N	48	48	1	4.0	0.5	0.5	1.06	0.0	0.3	6.36
1	2018-01-01 00:01:16	2018-01-01 00:15:43	2	3.8	1	N	100	232	2	14.5	0.5	0.5	0.0	0.0	0.3	15.8
2	2018-01-01 00:01:16	2018-01-01 00:30:04	3	8.41	1	N	113	129	2	27.0	0.5	0.5	0.0	0.0	0.3	28.3
1	2018-01-01 00:01:18	2018-01-01 00:05:10	2	0.7	1	N	246	50	2	5.0	0.5	0.5	0.0	0.0	0.3	6.3
1	2018-01-01 00:01:18	2018-01-01 00:10:26	1	1.8	1	N	264	264	2	8.5	0.5	0.5	0.0	0.0	0.3	9.8
1	2018-01-01 00:01:19	2018-01-01 00:05:56	2	0.9	1	N	142	239	2	5.5	0.5	0.5	0.0	0.0	0.3	6.8
2	2018-01-01 00:01:19	2018-01-01 00:16:23	6	2.0	1	N	148	158	1	11.0	0.5	0.5	2.46	0.0	0.3	14.76
2	2018-01-01 00:01:20	2018-01-01 00:06:46	1		1	N	113	231	2	6.5	0.5	0.5	0.0	0.0	0.3	7.8
2	2018-01-01 00:01:22	2018-01-01 00:02:35	1	0.47	1	N	74	75	2	3.5	0.5	0.5	0.0	0.0	0.3	4.8
2	2018-01-01 00:01:22	2018-01-01 00:09:07	1	1.68	1	N	239	24	2	8.0	0.5	0.5	0.0	0.0	0.3	9.3
2	2018-01-01 00:01:22	2018-01-01 00:34:25	1	27.94	2	N	132	50	1	52.0	0.0	0.5	14.64	5.76	0.3	73.2
2	2018-01-01 00:01:24	2018-01-01 00:08:31	1	0.99	1	N	114	249	1	6.5	0.5	0.5	1.56	0.0	0.3	9.36
1	2018-01-01 00:01:24	2018-01-01 00:05:35	1	0.6	1	N	237	43	1	5.0	0.5	0.5	0.0	0.0	0.3	6.3
2	2018-01-01 00:01:25	2018-01-01 00:17:04	5	3.03	1	N	142	170	2	12.5	0.5	0.5	0.0	0.0	0.3	13.8
1	2018-01-01 00:01:25	2018-01-01 00:21:39	1	2.6	1	N	137	158	1	14.0	0.5	0.5	3.0	0.0	0.3	18.3
1	2018-01-01 00:01:26	2018-01-01 00:09:18	1	1.0	1	N	264	264	1	6.5	0.5	0.5	1.3	0.0	0.3	9.1
1	2018-01-01 00:01:26	2018-01-01 00:06:56	2	2.7	1	N	50	238	2	9.5	0.5	0.5	0.0	0.0	0.3	10.8
2	2018-01-01 00:01:28	2018-01-01 00:20:13	1	5.96	1	N	229	88	2	19.5	0.5	0.5	0.0	0.0	0.3	20.8
1	2018-01-01 00:01:29	2018-01-01 00:15:25	2	2.1	1	N	4	231	1	11.0	0.5	0.5	2.45	0.0	0.3	14.75
2	2018-01-01 00:01:31	2018-01-01 00:31:35	5		1	N	186	161	2	17.5	0.5	0.5	0.0	0.0	0.3	18.8
2	2018-01-01 00:01:32	2018-01-01 00:07:25	1	0.43	1	N	90	68	1	5.5	0.5	0.5	1.7	0.0	0.3	8.5
2	2018-01-01 00:01:34	2018-01-01 00:16:03	5	5.54	1	N	146	41	1	16.5	0.5	0.5	2.0	0.0	0.3	19.8
2	2018-01-01 00:01:35	2018-01-01 00:10:32	1	1.11	1	N	43	161	2	7.5	0.5	0.5	0.0	0.0	0.3	8.8
1	2018-01-01 00:01:35	2018-01-01 00:09:51	2	1.4	1	N	90	107	1	8.0	0.0	0.5	1.75	0.0	0.3	10.55
2	2018-01-01 00:01:36	2018-01-01 00:09:16	6		1	N	113	107	2	7.0	0.5	0.5	0.0	0.0	0.3	8.3
1	2018-01-01 00:01:37	2018-01-01 00:32:00	1	4.7	1	N	48	79	2	21.5	0.5	0.5	0.0	0.0	0.3	22.8
1	2018-01-01 00:01:39	2018-01-01 00:10:32	4	0.3	1	N	48	48	3	6.5	0.5	0.5	0.0	0.0	0.3	7.8
2	2018-01-01 00:01:40	2018-01-01 00:12:24	5	2.07	1	N	224	162	2	10.0	0.5	0.5	0.0	0.0	0.3	11.3
2	2018-01-01 00:01:41	2018-01-01 00:10:36	5	1.35	1	N	45	4	2	8.0	0.5	0.5	0.0	0.0	0.3	9.3
2	2018-01-01 00:01:43	2018-01-01 00:04:47	1	0.57	1	N	231	13	2	4.0	0.5	0.5	0.0	0.0	0.3	5.3
2	2018-01-01 00:01:45	2018-01-01 00:17:07	1	4.3	1	N	137	74	2	14.5	0.5	0.5	0.0	0.0	0.3	15.8
